conversation_id,customer_tweet_id,brand_tweet_id,customer_message,brand_response,created_at,source_tweet_ids
conv_630,628,626,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 21:57:24 +0000 2017,628;626
conv_644,645,647,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,Wed Nov 01 08:04:52 +0000 2017,645;647
conv_646,646,644,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Tue Oct 31 21:40:30 +0000 2017,646;644
conv_672,672,674,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",@115844 Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE,Tue Oct 31 20:59:45 +0000 2017,672;674
conv_678,678,679,My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,"@115846 Sorry about your costume, Mike! Who's the carrier responsible for the delivery? Let's check here: https://t.co/Y5jpI9gRhE ^JZ",Tue Oct 31 20:06:57 +0000 2017,678;679
conv_684,685,687,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,Wed Nov 01 05:26:45 +0000 2017,685;687
conv_1697,1698,1700,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:47:50 +0000 2017,1698;1700
conv_1710,1710,1709,@AmazonHelp where can I chat with a support member for a false charge,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,Tue Oct 31 22:33:35 +0000 2017,1710;1709
conv_1734,1735,1737,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL",Tue Oct 31 22:41:11 +0000 2017,1735;1737
conv_1753,1752,1750,@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,Tue Oct 31 22:06:28 +0000 2017,1752;1750
conv_2568,2568,2566,"Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?","@116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ",Tue Oct 31 22:40:57 +0000 2017,2568;2566
conv_2579,2581,2582,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",@116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH,Tue Oct 31 22:50:46 +0000 2017,2581;2582
conv_2585,2584,2583,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,@116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,Tue Oct 31 22:11:58 +0000 2017,2584;2583
conv_2595,2594,2592,@AmazonHelp Want to speak to someone at corp to address these issues.,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,Tue Oct 31 20:18:44 +0000 2017,2594;2592
conv_3747,3748,3750,"@AmazonHelp Many times, but still failing, and it happen with some show",@116617 Is this still ongoing? What devices are you using? ^AN,Tue Oct 31 23:02:35 +0000 2017,3748;3750
conv_3759,3759,3758,@115830 you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡,"@116619  I'm sorry your parcel wasn't delivered. Please reach us here: https://t.co/XRh1cqD2lT, so we can look into this with you. ^MO",Tue Oct 31 21:40:54 +0000 2017,3759;3758
conv_4788,4788,4787,So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,@116830 Oh no! Did we miss the expected delivery date from your confirmation e-mail here: https://t.co/OmqrPtDrzj Please let us know. ^KL,Tue Oct 31 23:18:00 +0000 2017,4788;4787
conv_4852,4850,4846,"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",Tue Oct 31 23:12:08 +0000 2017,4850;4846
conv_5130,5128,5126,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","@116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ",Sun Nov 26 00:17:31 +0000 2017,5128;5126
