candidate_intent,display_name,count,percentage,example_message
service_complaints_and_feedback,Service Complaints & Feedback,9768,48.84,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?
delivery_status_and_delay,Delivery Status & Delay,6495,32.48,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
refund_inquiry,Refund Inquiry & Status,802,4.01,@115821 407-8406190-7752345. i want refund amount -1399/- amazon seller was lying. amazon custamare care side also.
return_and_replacement,Return & Replacement Logistics,584,2.92,@115850 I hope there will be a good exchange offer for Oneplus 5 users
digital_services_and_device_support,Digital Services & Device Support,566,2.83,@117095 @115821 My audiobook hasn’t shipped (but the site still says I’ll get it by 8PM 🙄)
damaged_defective_or_wrong_item,"Damaged, Defective, or Wrong Item",541,2.71,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted."
missing_package_false_delivery,Missing Package / False Delivery Status,387,1.93,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
prime_and_subscriptions,Prime & Subscription Management,332,1.66,@115850  what’s the use of amazon prime membership if the product reaches me after 2 days of placing the order .. al false promises
account_access_and_security,Account Access & Security,322,1.61,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again."
payment_and_billing_issues,Payment & Billing Issues,102,0.51,@AmazonHelp where can I chat with a support member for a false charge
order_cancellation_and_modification,Order Cancellation & Modification,101,0.51,Why does amazon take my money but then cancel my order? @AmazonHelp
